# Options for the Label dropdown in "Add points", split by kind.
#
# Columns: kind,points,name,group
# kind:   secret | secret-omega | other
#         secret-omega appears in the gallery only, never in the dropdown -- the
#         Omega reprints are the same objective, so offering both would just be
#         two ways to log one thing. But I kept both of them so people at the
#         table can decide which version of the card they want to play and still
#         be able to see the image of it when needed
# points: the usual value, prefilled when picked. Still editable.
# group:  optional; becomes the heading the option sits under in the dropdown.
#
# The dropdown also learns: any label typed via "— something else —" is
# remembered and offered from then on, so homebrew and Thunder's Edge sources
# need no edit here. Read at startup, no recompile, no database wipe.
#
kind,points,name,group
#
# --- Other point sources -------------------------------------------------------
# Base + Prophecy of Kings. Thunder's Edge may add sources not listed here.
other,1,Custodians token,Board
other,1,Imperial (control Mecatol Rex),Strategy
other,1,Support for the Throne,Promissory
other,1,Shard of the Throne,Relic / agenda
other,1,The Crown of Emphidia,Relic / agenda
other,1,Political Censure,Agenda
other,1,Seed of an Empire,Agenda
other,1,Holy Planet of Ise,Agenda
other,1,Mutiny (voted for),Agenda
other,-1,Mutiny (voted against),Agenda
other,1,Manual adjustment,Other
#
# --- Secret objectives ---------------------------------------------------------
# All 40, grouped by the phase they are scored in. Base game and Prophecy of
# Kings are merged, since at the table you care about the phase, not the box.
#
# Action phase -- base game
secret,1,Destroy Their Greatest Ship,Action phase
secret,1,Make an Example of Their World,Action phase
secret,1,Spark a Rebellion,Action phase
secret,1,Turn Their Fleets to Dust,Action phase
secret,1,Unveil Flagship,Action phase
# Action phase -- Prophecy of Kings
secret,1,Become a Martyr,Action phase
secret,1,Betray a Friend,Action phase
secret,1,Brave the Void,Action phase
secret,1,Darken the Skies,Action phase
secret,1,Demonstrate Your Power,Action phase
secret,1,Fight With Precision,Action phase
secret,1,Prove Endurance,Action phase
# Status phase -- base game
secret,1,Adapt New Strategies,Status phase
secret,1,Become the Gatekeeper,Status phase
secret,1,Control the Region,Status phase
secret,1,Cut Supply Lines,Status phase
secret,1,Establish a Perimeter,Status phase
secret,1,Forge an Alliance,Status phase
secret,1,Form a Spy Network,Status phase
secret,1,Fuel the War Machine,Status phase
secret,1,Gather a Mighty Fleet,Status phase
secret,1,Learn the Secrets of the Cosmos,Status phase
secret,1,Master the Laws of Physics,Status phase
secret,1,Mine Rare Minerals,Status phase
secret,1,Monopolize Production,Status phase
secret,1,Occupy the Seat of the Empire,Status phase
secret,1,Threaten Enemies,Status phase
# Status phase -- Prophecy of Kings
secret,1,Defy Space and Time,Status phase
secret,1,Destroy Heretical Works,Status phase
secret,1,Establish Hegemony,Status phase
secret,1,Foster Cohesion,Status phase
secret,1,Hoard Raw Materials,Status phase
secret,1,Mechanize The Military,Status phase
secret,1,Occupy The Fringe,Status phase
secret,1,Produce En Masse,Status phase
secret,1,Seize An Icon,Status phase
secret,1,Stake your Claim,Status phase
secret,1,Strengthen Bonds,Status phase
# Agenda phase -- Prophecy of Kings only
secret,1,Dictate Policy,Agenda phase
secret,1,Drive the Debate,Agenda phase
#
# --- Omega reprints (gallery only) ---------------------------------------------
# Codex reprints of three action-phase secrets. Named "(Omega)" rather than with
# the omega glyph because the image matcher strips non-alphanumerics, so a glyph
# would collide with the base card's filename.
secret-omega,1,Make an Example of Their World (Omega),Action phase · Omega
secret-omega,1,Turn Their Fleets to Dust (Omega),Action phase · Omega
secret-omega,1,Fight With Precision (Omega),Action phase · Omega
